year,month,day,hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2017,0,0,0,0.0,0.0,0.0,0.3519005498446091,0.8341584158415856,0.027745067308262518,0.8399292805657552,0.1596352749047365,0.36494041488892126,0.40895522388059713,0.27099724989464447,0.39332659251769475,0.38124999999999987,0.7340550787146055,0.30140485312899035,0.19295469400392176
2017,0,0,1,0.0,0.0,0.0,0.23141286158259622,0.797029702970292,0.4222643928419138,0.8008975928192577,0.19855743059335929,0.3803638860281495,0.31641791044776135,0.19089445764707422,0.3235591506572295,0.34062499999999996,0.9583351257731649,0.38058748403576015,0.25864098464373386
2017,0,0,2,0.0,0.0,0.0,0.129572077456371,0.8029702970297024,0.1216801226713205,0.8076975384196885,0.1917528579205232,0.38009415918787703,0.24378109452736352,0.13193771641330657,0.27098078867542963,0.29374999999999996,0.8071192904556788,0.3588761174968069,0.23990595090840836
2017,0,0,3,0.0,0.0,0.0,0.04183600286875448,0.7054455445544505,0.029685104075771563,0.7090983272133791,0.29069134458356016,0.38235005639743,0.24975124378109492,0.13648972729208028,0.2548028311425681,0.2687499999999998,0.8549316098478826,0.2745849297573435,0.1714945100637614
2017,0,0,4,0.0,0.0,0.0,0.0,0.7153465346534631,0.18970848617829697,0.7186182510539894,0.2815732172019598,0.38203128831347155,0.19502487562189041,0.09619177748910604,0.20930232558139528,0.22708333333333308,0.8613769117539787,0.2464878671775219,0.15034767352640718
2017,0,0,5,0.0,0.0,0.0,0.11498924217069091,0.6856435643564396,0.044623669578133775,0.6886984904120759,0.3108328796951554,0.38259526261585997,0.15522388059701497,0.06881780226177706,0.17290192113245695,0.18958333333333321,0.830744426759038,0.22860791826309068,0.13744733295741615
2017,0,0,6,0.0,0.0,0.0,0.29595983743724597,0.6608910891089153,0.22062199781428168,0.6632666938664471,0.33628198149156274,0.39789613064587304,0.15323383084577102,0.06742754363022599,0.15975733063700726,0.16874999999999996,0.8179038553978001,0.19157088122605348,0.11146268174523288
2017,0,0,7,0.0,0.0,0.0,0.5582118097059526,0.646534653465352,0.1339472547208973,0.6489868081055334,0.3505715841045185,0.4005198371830707,0.12835820895522398,0.05117455131574947,0.14054600606673406,0.15416666666666679,0.8324759236364521,0.17113665389527455,0.09776139829221928
2017,0,0,8,0.0,0.0,0.0,0.7910590485297632,0.5990099009900973,0.19843441574394902,0.5994832041343656,0.40010887316276555,0.45780000980824864,0.11343283582089558,0.04171318964431103,0.12335692618806893,0.1343749999999999,0.8158988166156367,0.15836526181353738,0.08947003157405098
2017,0,0,9,0.0,0.0,0.0,0.896007650011953,0.6019801980198025,0.2293338077528048,0.6026111791105642,0.3971148611867177,0.4723162179392868,0.10746268656716418,0.03799642008402376,0.11324570273003043,0.12291666666666679,0.811501104454665,0.1404853128991057,0.07804967790280101
2017,0,0,10,0.0,0.0,0.0,0.8173559646186946,0.645544554455455,0.08276925422953431,0.6477628178974584,0.351796407185629,0.45635329311951334,0.10248756218905486,0.03492373128038476,0.10212335692618812,0.10624999999999996,0.8214687844265346,0.36653895274584913,0.26106624867070405
2017,0,0,11,0.0,0.0,0.0,0.6657901027970357,0.6138613861386091,0.22749260837519797,0.6266829865361068,0.37289058247142126,0.4575548035898189,0.19900497512437765,0.10604849395889179,0.2457027300303336,0.3291666666666666,0.39995006106764575,0.6066411238825031,0.48237177809320264
2017,0,0,12,0.0,0.0,0.0,0.5089648577575902,0.6564356435643504,0.4589641276753163,0.6587787297701624,0.34077299945563455,0.456770143690844,0.5611940298507465,0.42532681939237016,0.5298281092012134,0.5343749999999998,0.5397865531475555,0.5632183908045971,0.43579818333290965
2017,0,0,13,0.0,0.0,0.0,0.3664833851302893,0.6732673267326703,0.28527012258660267,0.6662586699306416,0.33328796951551487,0.45657397871610006,0.583084577114428,0.4483106185347544,0.5733063700707783,0.5791666666666666,0.883113439932068,0.5517241379310343,0.42324334753741855
2017,0,0,14,0.0,0.0,0.0,0.24599569686827633,0.6732673267326703,0.2273796513581669,0.6763225894192857,0.3232172019597175,0.45657397871610006,0.44278606965174094,0.3034956315467062,0.46107178968655194,0.48333333333333295,0.8877613143478106,0.5619412515964237,0.4341200172901958
2017,0,0,15,0.0,0.0,0.0,0.14367678699497965,0.6950495049505037,0.34344298635761616,0.698082415340675,0.3019869352204685,0.45608356627924085,0.38706467661691546,0.25095145825096776,0.3923154701718907,0.40625,0.8540048405227316,0.4482758620689653,0.3204773649502608
2017,0,0,16,0.0,0.0,0.0,0.06024384413100646,0.7232673267326675,0.37279486723314603,0.7222902216782252,0.2777626565051716,0.45544603011132345,0.317412935323383,0.19062075047898755,0.32659251769464115,0.3416666666666668,0.8672896252335627,0.3588761174968069,0.2396023255013933
2017,0,0,17,0.0,0.0,0.0,0.1071001673440115,0.7589108910891014,0.40308711527545976,0.7572419420644643,0.24224278715296688,0.46934922269628765,0.2577114427860696,0.14260469299179315,0.2669362992922142,0.28020833333333317,0.8484526412458173,0.29629629629629584,0.1884631319484226
2017,0,0,18,0.0,0.0,0.0,0.22065503227348793,0.7648514851485118,0.25624016920961146,0.7632258941928463,0.23625476320087135,0.4546123289686623,0.20597014925373136,0.10408040908360236,0.2204246713852378,0.22708333333333308,0.8337047580393264,0.23499361430395904,0.14198974852936116
2017,0,0,19,0.0,0.0,0.0,0.4162084628257231,0.8326732673267259,0.34350228879155753,0.8272813817489428,0.17215568862275465,0.45316561227992724,0.15820895522388057,0.07080543764907268,0.17593528816986836,0.18333333333333313,0.8431356412476877,0.2030651340996168,0.11936965570673677
2017,0,0,20,0.0,0.0,0.0,0.6131962706191728,0.871287128712865,0.3726564948872829,0.8736570107439121,0.12629286880783952,0.45228286989358035,0.12437810945273631,0.048654707546063186,0.13852376137512645,0.15520833333333317,0.8186954903460749,0.18646232439335897,0.10811756734725625
2017,0,0,21,0.0,0.0,0.0,0.7387042792254361,0.8841584158415827,0.25594930489075646,0.8868489052087583,0.11309199782253687,0.4520867049188366,0.13233830845771122,0.053740012946783516,0.1324570273003034,0.13854166666666679,0.815757603529766,0.15581098339719013,0.08780757029376882
2017,0,0,22,0.0,0.0,0.0,0.7045182883098254,0.9059405940594019,0.37308008370114953,0.912280701754387,0.0870985302123033,0.451547251238291,0.11044776119402999,0.039894992027735665,0.11931243680485348,0.12812499999999982,0.8218003078632309,0.1404853128991057,0.07807211327770358
2017,0,0,23,0.0,0.0,0.0,0.5775759024623475,0.8603960396039696,0.07192820451997503,0.8660410716714253,0.13336962438758881,0.6713255848168309,0.09552238805970159,0.030664978081703764,0.10414560161779574,0.11249999999999982,0.8092566580567209,0.2337164750957852,0.14287071091720302
2017,0,1,0,0.0,0.0,0.0,0.4324647382261535,0.8386138613861363,0.25630794341983015,0.8437372501019986,0.15568862275449158,0.45372958658231566,0.14427860696517403,0.06307864084840534,0.16380182002022226,0.19166666666666665,0.6355832661558057,0.2720306513409958,0.1697535249713201
2017,0,1,1,0.0,0.0,0.0,0.30145828352856796,0.8371287128712908,0.1688255576546734,0.8422412620699049,0.15732172019597201,0.45350890098572894,0.2706467661691543,0.15258414323139555,0.24873609706774502,0.23958333333333304,0.7722354499086324,0.15836526181353783,0.08958071275690377
2017,0,1,2,0.0,0.0,0.0,0.18981592158737748,0.7366336633663337,0.07548917448188028,0.7560179518563821,0.24401197604790448,0.4559609631700259,0.17114427860696502,0.08040473904411033,0.18503538928210306,0.20208333333333317,0.9185074244416471,0.21839080459770122,0.1300967562934966
2017,0,1,3,0.0,0.0,0.0,0.094668897920153,0.7346534653465397,0.34522770722670754,0.7382020943832437,0.2617038649972785,0.470599774410279,0.13830845771144262,0.057650115348020864,0.14863498483316473,0.16249999999999964,0.8085150555594002,0.18773946360153237,0.10915482951358613
2017,0,1,4,0.0,0.0,0.0,0.015778149653358844,0.7188118811881168,0.14001587046089287,0.7224262205902328,0.2777626565051716,0.45615712814476983,0.1303482587064677,0.05255286241218565,0.13043478260869557,0.13749999999999996,0.8567178151062464,0.11494252873563227,0.06239726467909193
2017,0,1,5,0.0,0.0,0.0,0.042314128615825966,0.6732673267326703,0.19836381760830457,0.6863865089079297,0.31314643440391965,0.45718699426217446,0.0796019900497511,0.021162343107141157,0.0869565217391306,0.10520833333333313,0.8393401888701644,0.13920817369093186,0.077366146814102
2017,0,1,6,0.0,0.0,0.0,0.15825962228065982,0.6732673267326703,0.22745024949381135,0.6763225894192857,0.3232172019597175,0.45718699426217446,0.08258706467661692,0.02300009123572269,0.08493427704752254,0.09270833333333317,0.7866228189124534,0.1047254150702428,0.056324756538790044
2017,0,1,7,0.0,0.0,0.0,0.3605068132918957,0.6504950495049542,0.08461610145799268,0.6527947776417768,0.3467610234077303,0.4723897798048158,0.0776119402985076,0.02003927480634135,0.08088978766430754,0.08749999999999947,0.8286477397489587,0.0868454661558109,0.04586388906754099
2017,0,1,8,0.0,0.0,0.0,0.590963423380349,0.6356435643564282,0.16978569229943774,0.6378348973208219,0.36173108328796966,0.4579226129174636,0.05771144278606943,0.008400203325324873,0.06066734074823055,0.07916666666666661,0.8082892081406071,0.09961685823754785,0.053269058477056846
2017,0,1,9,0.0,0.0,0.0,0.7769543389911546,0.589108910891099,0.09065647794373045,0.591187270501834,0.4085465432770823,0.29010347702417727,0.06766169154228852,0.014126331064025749,0.05965621840242674,0.07395833333333313,0.8017391654026069,0.07918263090676869,0.041526383253039645
2017,0,1,10,0.0,0.0,0.0,0.831699737030839,0.5297029702970377,0.17330147945453053,0.5298517611859097,0.46978769733260783,0.23711441322151905,0.059701492537313605,0.009540649859019118,0.05257836198179988,0.06666666666666665,0.8178426007148561,0.07790549169859529,0.04079050295623457
